Age,DailyRate,DistanceFromHome,HourlyRate,JobLevel,NumCompaniesWorked,PercentSalaryHike,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,MonthlyRate,MonthlyIncome,Attrition_Yes,BusinessTravel_Non-Travel,BusinessTravel_Travel_Frequently,Department_Human Resources,Department_Research & Development,EducationField_Human Resources,EducationField_Life Sciences,EducationField_Marketing,EducationField_Medical,EducationField_Technical Degree,JobRole_Healthcare Representative,JobRole_Human Resources,JobRole_Laboratory Technician,JobRole_Manager,JobRole_Manufacturing Director,JobRole_Research Director,JobRole_Research Scientist,JobRole_Sales Executive,MaritalStatus_Divorced,MaritalStatus_Married,OverTime_Yes,Education_1,Education_2,Education_3,Education_4,EnvironmentSatisfaction_1,EnvironmentSatisfaction_2,EnvironmentSatisfaction_3,JobInvolvement_1,JobInvolvement_2,JobInvolvement_3,JobSatisfaction_1,JobSatisfaction_2,JobSatisfaction_3,PerformanceRating_3,RelationshipSatisfaction_1,RelationshipSatisfaction_2,RelationshipSatisfaction_3,WorkLifeBalance_1,WorkLifeBalance_2,WorkLifeBalance_3,IsMale
29,153,15,49,2,0,12,0,10,3,9,5,0,8,12682.0,4193.0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0.0
31,670,26,31,1,1,17,1,5,1,5,2,4,3,15170.0,2911.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1.0
34,1346,19,93,1,0,11,1,3,2,2,2,1,2,8758.0,2661.0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1.0
28,103,24,50,1,5,14,0,6,4,4,2,0,3,12947.0,2028.0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,1,0,0,0,1,1.0
29,1389,21,51,3,1,11,1,10,1,10,9,8,8,10195.0,9980.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0.0
32,334,5,80,1,0,12,2,7,5,6,2,0,5,15053.0,3298.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1.0
22,1123,16,96,1,1,13,2,1,2,1,0,0,0,7324.0,2935.0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1.0
53,1219,2,78,4,2,16,0,31,3,25,8,3,7,22021.0,15427.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0.0
38,371,2,45,1,5,11,0,6,3,3,2,1,2,4306.0,3944.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1.0
24,673,11,96,2,0,18,1,5,5,4,2,1,3,8232.0,4011.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0.0
36,1218,9,82,1,7,23,0,10,4,5,3,0,3,6986.0,3407.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,1.0
34,419,7,53,3,0,11,0,13,4,12,6,2,11,21293.0,11994.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0.0
21,391,15,96,1,1,14,0,0,6,0,0,0,0,19281.0,1232.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1.0
34,699,6,83,1,2,11,0,8,2,4,2,1,3,17102.0,2960.0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,1,1.0
53,1282,5,58,5,4,11,1,26,3,14,13,4,8,10735.0,19094.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0.0
32,1125,16,72,1,1,22,0,10,5,10,2,6,7,4681.0,3919.0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0.0
42,691,8,48,2,0,11,1,10,2,9,7,4,2,21173.0,6825.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,1.0
44,477,7,42,3,3,14,1,24,4,22,6,5,17,2094.0,10248.0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0.0
46,705,2,83,5,3,12,0,22,2,2,2,2,1,22822.0,18947.0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0.0
33,924,2,78,1,4,11,0,7,3,1,1,0,0,6670.0,2496.0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1.0
44,1459,10,41,2,2,13,0,9,5,4,2,1,3,19121.0,6465.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1.0
30,125,9,83,1,1,13,0,10,5,10,0,1,8,16117.0,2206.0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,1,1.0
39,895,5,56,2,3,14,1,19,6,1,0,0,0,3335.0,2086.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1.0
24,813,1,61,1,2,16,1,6,2,2,0,2,0,3020.0,2293.0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1.0
43,1273,2,72,1,1,12,2,6,3,5,3,1,4,21923.0,2645.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0.0
50,869,3,86,1,1,14,0,3,2,3,2,0,2,3810.0,2683.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,1.0
35,890,2,97,1,1,13,0,2,3,2,2,2,2,9687.0,2014.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0.0
36,852,5,82,1,9,14,1,6,3,1,1,0,0,13072.0,3419.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0.0
33,1141,1,42,2,2,19,2,10,3,5,3,1,3,3193.0,5376.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0.0
35,464,4,75,1,1,12,1,1,3,1,0,0,0,10910.0,1951.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,1.0
27,1240,2,33,1,1,13,1,1,6,1,0,0,0,19715.0,2341.0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0.0
26,1357,25,48,1,1,12,0,1,2,1,0,0,1,10558.0,2293.0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,1,0,1.0
27,994,8,37,3,1,15,0,9,0,9,8,1,7,2975.0,8726.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1.0
30,721,1,58,2,1,23,0,12,2,12,8,3,7,10781.0,4011.0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0.0
41,1360,12,49,5,1,12,0,23,0,22,15,15,8,16280.0,19545.0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0.0
34,1065,23,72,2,0,20,0,10,2,9,5,8,7,10034.0,4568.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1.0
37,408,19,73,1,4,21,0,8,1,1,0,0,0,10227.0,3022.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1.0
46,1211,5,98,2,4,21,0,14,4,9,6,0,8,20445.0,5772.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1.0
35,1229,8,36,1,1,19,0,1,2,1,0,0,1,4892.0,2269.0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1.0
48,626,1,98,3,9,13,0,23,2,1,0,0,0,19294.0,5381.0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1.0
28,1434,5,50,1,1,13,0,2,3,2,2,2,2,11179.0,3441.0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,1,0,1,0,1.0
44,1488,1,75,2,5,21,1,9,2,4,3,1,3,4009.0,5454.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0.0
35,1097,11,79,3,2,13,1,10,3,4,0,2,3,8302.0,9884.0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1,1.0
26,1443,23,47,2,7,19,1,5,2,2,2,0,0,21436.0,4157.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0.0
33,515,1,98,3,1,12,0,15,1,15,14,8,12,15146.0,13458.0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0.0
35,853,18,71,3,1,22,1,9,3,9,8,1,8,11031.0,9069.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1.0
35,1142,23,30,1,3,15,1,4,3,2,2,2,2,16002.0,4014.0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0.0
31,655,7,48,2,3,22,1,10,3,7,7,1,7,9528.0,5915.0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1.0
37,1115,1,51,2,1,18,1,7,2,7,5,0,7,2689.0,5993.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1.0
32,427,1,33,2,1,22,1,9,3,9,8,7,8,10877.0,6162.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1.0
38,653,29,50,2,1,11,0,10,2,10,3,9,9,5456.0,2406.0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0.0
50,989,7,43,5,5,12,1,29,2,27,3,13,8,16701.0,18740.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0.0
59,1435,25,99,3,7,11,0,28,3,21,16,7,9,2354.0,7637.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0.0
36,1223,8,59,3,1,13,3,17,2,17,14,12,8,8202.0,10096.0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,1,0,0,0,1,0.0
55,836,8,33,4,2,14,3,21,2,5,0,0,2,19730.0,14756.0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0.0
36,1195,11,95,2,1,13,0,6,3,6,5,0,3,22656.0,6499.0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,1.0
45,1339,7,59,3,2,17,1,25,2,1,0,0,0,18787.0,9724.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,1,1.0
36,318,9,79,1,0,17,1,2,0,1,0,0,0,21777.0,3388.0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,1.0
59,1225,1,57,2,7,11,0,20,2,4,3,1,3,24668.0,5473.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0.0
29,1328,2,76,1,0,23,1,6,3,5,4,0,4,4956.0,2703.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,1.0
31,1082,1,87,1,1,17,0,1,4,1,1,1,0,18775.0,2501.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,0,0,1,1.0
32,548,1,66,2,1,17,2,10,3,10,4,0,9,7346.0,6220.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,1,1.0
36,132,6,55,1,3,12,0,5,3,1,0,0,0,22002.0,3038.0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0.0
31,746,8,61,2,1,23,0,11,2,11,7,1,8,20682.0,4424.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0.0
35,776,1,32,2,0,14,0,16,2,15,13,2,8,23016.0,4312.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,1.0
45,193,6,52,3,4,14,0,17,3,0,0,0,0,15067.0,13245.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,1.0
37,397,7,30,3,4,13,0,16,3,5,2,0,2,25258.0,13664.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,1.0
46,945,5,80,2,8,22,1,16,2,4,2,0,2,10425.0,5021.0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1.0
30,852,1,55,2,1,12,2,10,1,10,8,3,0,15998.0,5126.0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1.0
35,1214,1,30,1,1,18,0,6,3,6,4,0,4,26278.0,2859.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,1,0,0,0,0,1,1.0
55,111,1,70,3,3,14,1,24,4,1,0,1,0,18092.0,10239.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1.0
38,573,6,79,2,7,12,3,17,3,13,11,1,9,15717.0,5329.0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0.0
34,1153,1,94,2,1,15,0,5,2,5,2,1,3,17736.0,4325.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,1.0
56,1400,7,49,3,4,11,0,37,3,6,4,0,2,21698.0,7260.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,1.0
23,541,2,62,1,3,13,1,3,3,0,0,0,0,9518.0,2322.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,1.0
51,432,9,96,1,3,23,2,10,4,4,2,0,3,18725.0,2075.0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1.0
30,288,2,99,2,1,19,3,11,3,11,10,10,8,15830.0,4152.0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,1.0
46,669,9,64,3,1,16,0,9,3,9,8,4,7,13596.0,9619.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1.0
40,530,1,78,4,1,22,1,22,3,22,3,11,11,14115.0,13503.0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,1.0
51,632,21,71,2,0,22,0,11,2,10,7,1,0,8423.0,5441.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1.0
30,1334,4,63,2,1,12,3,11,4,11,8,2,7,19760.0,5209.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0,0.0
46,638,1,40,3,2,13,1,21,5,10,9,9,5,3142.0,10673.0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,1,0,1.0
32,1093,6,87,2,1,16,0,12,0,11,8,5,7,24301.0,5010.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,1,0,0,0,0,1,1.0
54,1217,2,60,3,9,12,1,16,5,4,3,0,3,24001.0,13549.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0.0
24,1353,3,33,2,0,21,1,4,2,3,2,0,2,17519.0,4999.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0.0
28,120,4,43,2,1,15,0,5,3,5,4,0,4,8863.0,4221.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,1.0
58,682,10,37,4,0,13,0,38,1,37,10,1,8,24409.0,13872.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,1,0,1.0
44,489,23,67,2,4,12,1,17,3,3,2,1,2,25043.0,2042.0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1.0
37,807,6,63,1,4,22,0,7,3,3,2,0,2,23648.0,2073.0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1.0
32,827,1,71,1,1,13,0,1,2,1,0,0,0,15178.0,2956.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,1.0
20,871,6,66,1,1,18,0,1,5,1,0,1,0,19783.0,2926.0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0.0
34,665,6,41,2,1,14,0,16,3,16,13,2,10,17944.8,4809.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0.0
